"","AF","address","university","department","short_address","postal_code","country","EB_author.country","match"
"5005","Mondin, Claudio A.","Pontificia Univ Catolica, Dept Biol, Fac Biociencias, BR-90619500 Porto Alegre, RS, Brazil.","Pontificia Univ Catolica"," Dept Biol"," Fac Biociencias, BR-90619500 Porto Alegre, RS, Brazil.","BR-90619500","Brazil","Brazil",TRUE
"5006","Paz, Claudia P.","Univ Vale Rio dos Sinos, Ctr 2, BR-93022970 Sao Leopoldo, RS, Brazil.","Univ Vale Rio dos Sinos"," Ctr 2"," BR-93022970 Sao Leopoldo, RS, Brazil.","BR-93022970","Brazil","Brazil",TRUE
"5007","Petry, Maria V.","Univ Vale Rio dos Sinos, Ctr 2, BR-93022970 Sao Leopoldo, RS, Brazil.","Univ Vale Rio dos Sinos"," Ctr 2"," BR-93022970 Sao Leopoldo, RS, Brazil.","BR-93022970","Brazil","Brazil",TRUE
"5008","Piovensan, Fabio N.","Univ Vale Rio dos Sinos, Ctr 2, BR-93022970 Sao Leopoldo, RS, Brazil.","Univ Vale Rio dos Sinos"," Ctr 2"," BR-93022970 Sao Leopoldo, RS, Brazil.","BR-93022970","Brazil","Brazil",TRUE
"5009","Putzke, Jair","Univ Santa Cruz do Sul, Dept Biol, BR-96815900 Santa Cruz Do Sul, RS, Brazil.","Univ Santa Cruz do Sul"," Dept Biol"," BR-96815900 Santa Cruz Do Sul, RS, Brazil.","BR-96815900","Brazil","Brazil",TRUE
"5010","Stranz, Anamaria","Univ Vale Rio dos Sinos, Ctr 2, BR-93022970 Sao Leopoldo, RS, Brazil.","Univ Vale Rio dos Sinos"," Ctr 2"," BR-93022970 Sao Leopoldo, RS, Brazil.","BR-93022970","Brazil","Brazil",TRUE
"5011","Vergara, Micheline","Univ Vale Rio dos Sinos, Ctr 2, BR-93022970 Sao Leopoldo, RS, Brazil.","Univ Vale Rio dos Sinos"," Ctr 2"," BR-93022970 Sao Leopoldo, RS, Brazil.","BR-93022970","Brazil","Brazil",TRUE
"5012","Vieira, Emerson M.","Univ Vale Rio dos Sinos, Ctr 2, BR-93022970 Sao Leopoldo, RS, Brazil.","Univ Vale Rio dos Sinos"," Ctr 2"," BR-93022970 Sao Leopoldo, RS, Brazil.","BR-93022970","Brazil","Brazil",TRUE
"5013","Fernandes, Juliana de Oliveira","Univ Estadual Campinas, Museu Hist Nat, Inst Biol, BR-13084971 Campinas, SP, Brazil.","Univ Estadual Campinas"," Museu Hist Nat"," Inst Biol, BR-13084971 Campinas, SP, Brazil.","BR-13084971","Brazil","Brazil",TRUE
"5014","Lucci Freitas, Andre Victor","Univ Estadual Campinas, Museu Hist Nat, Inst Biol, BR-13084971 Campinas, SP, Brazil.","Univ Estadual Campinas"," Museu Hist Nat"," Inst Biol, BR-13084971 Campinas, SP, Brazil.","BR-13084971","Brazil","Brazil",TRUE
"5015","Machado, Glauco","Inst Biociencias, Dept Ecol, BR-05508900 Sao Paulo, Brazil.","Inst Biociencias"," Dept Ecol"," BR-05508900 Sao Paulo, Brazil.","BR-05508900","Brazil","Brazil",TRUE
"5016","Santos, Adalberto J.","Univ Fed Minas Gerais, Dept Zool, Inst Ciencias Biol, BR-31270910 Belo Horizonte, MG, Brazil.","Univ Fed Minas Gerais"," Dept Zool"," Inst Ciencias Biol, BR-31270910 Belo Horizonte, MG, Brazil.","BR-31270910","Brazil","Brazil",TRUE
"5017","Uehara-Prado, Marcio","Univ Estadual Campinas, Programa Posgrad Ecol, Inst Biol, BR-13084971 Campinas, SP, Brazil.","Univ Estadual Campinas"," Programa Posgrad Ecol"," Inst Biol, BR-13084971 Campinas, SP, Brazil.","BR-13084971","Brazil","Brazil",TRUE
"5018","Vaz-de-Mello, Fernando Zagury","Univ Fed Mato Grosso, Inst Biociencias, Dept Biol & Zool, BR-78060900 Cuiaba, MT, Brazil.","Univ Fed Mato Grosso"," Inst Biociencias"," Dept Biol & Zool, BR-78060900 Cuiaba, MT, Brazil.","BR-78060900","Brazil","Brazil",TRUE
"5019","Begotti, Rodrigo A.","Univ Estadual Paulista, Lab Biol Conservacao, Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","Univ Estadual Paulista"," Lab Biol Conservacao"," Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","BR-13506900","Brazil","Brazil",TRUE
"5020","Bernardo, Christine S. S.","Univ Estadual Paulista, Lab Biol Conservacao, Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","Univ Estadual Paulista"," Lab Biol Conservacao"," Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","BR-13506900","Brazil","Brazil",TRUE
"5021","Bovendorp, Ricardo S.","Univ Estadual Paulista, Lab Biol Conservacao, Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","Univ Estadual Paulista"," Lab Biol Conservacao"," Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","BR-13506900","Brazil","Brazil",TRUE
"5022","Bueno, Rafael S.","Univ Estadual Paulista, Lab Biol Conservacao, Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","Univ Estadual Paulista"," Lab Biol Conservacao"," Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","BR-13506900","Brazil","Brazil",TRUE
"5023","Chiarello, Adriano G.","PUC, Belo Horizonte, MG, Brazil.","PUC"," Belo Horizonte"," MG, Brazil.",NA,"Brazil","Brazil",TRUE
"5024","Donatti, Camila I.","Univ Estadual Paulista, Lab Biol Conservacao, Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","Univ Estadual Paulista"," Lab Biol Conservacao"," Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","BR-13506900","Brazil","Brazil",TRUE
"5025","Galetti, Mauro","Univ Estadual Paulista, Lab Biol Conservacao, Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","Univ Estadual Paulista"," Lab Biol Conservacao"," Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","BR-13506900","Brazil","Brazil",TRUE
"5026","Galetti, Mauro","Univ Estadual Paulista, Lab Biol Conservacao, Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","Univ Estadual Paulista"," Lab Biol Conservacao"," Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","BR-13506900","Brazil","Brazil",TRUE
"5027","Giacomini, Henrique C.","Univ Estadual Paulista, Lab Biol Conservacao, Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","Univ Estadual Paulista"," Lab Biol Conservacao"," Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","BR-13506900","Brazil","Brazil",TRUE
"5028","Gobbo, Sabrina K.","Univ Estadual Paulista, Lab Biol Conservacao, Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","Univ Estadual Paulista"," Lab Biol Conservacao"," Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","BR-13506900","Brazil","Brazil",TRUE
"5029","Marques, Renato M.","Univ Estadual Paulista, Lab Biol Conservacao, Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","Univ Estadual Paulista"," Lab Biol Conservacao"," Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","BR-13506900","Brazil","Brazil",TRUE
"5030","Meirelles, Fernanda","Univ Estadual Paulista, Lab Biol Conservacao, Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","Univ Estadual Paulista"," Lab Biol Conservacao"," Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","BR-13506900","Brazil","Brazil",TRUE
"5031","Nobre, Rodrigo de A.","Univ Estadual Paulista, Lab Biol Conservacao, Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","Univ Estadual Paulista"," Lab Biol Conservacao"," Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","BR-13506900","Brazil","Brazil",TRUE
"5032","Peres, Carlos A.","Univ E Anglia, Sch Environm Sci, Norwich NR4 7TJ, Norfolk, England.","Univ E Anglia"," Sch Environm Sci"," Norwich NR4 7TJ, Norfolk, England.","NR4 7TJ",NA,"England",NA
"5033","Rubim, Paulo","Univ Estadual Paulista, Lab Biol Conservacao, Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","Univ Estadual Paulista"," Lab Biol Conservacao"," Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","BR-13506900","Brazil","Brazil",TRUE
"5034","Steffler, Carla E.","Univ Estadual Paulista, Lab Biol Conservacao, Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","Univ Estadual Paulista"," Lab Biol Conservacao"," Dept Ecol, BR-13506900 Rio Claro, SP, Brazil.","BR-13506900","Brazil","Brazil",TRUE
"5035","Gandolfi, Sergius","Univ Sao Paulo, LERF, Dept Ciencias Biol, ESALQ, BR-13418900 Sao Paulo, Brazil.","Univ Sao Paulo"," LERF"," Dept Ciencias Biol, ESALQ, BR-13418900 Sao Paulo, Brazil.","BR-13418900","Brazil","Brazil",TRUE
"5036","Lima, Renato A. F.","Univ Sao Paulo, LERF, Dept Ciencias Biol, ESALQ, BR-13418900 Sao Paulo, Brazil.","Univ Sao Paulo"," LERF"," Dept Ciencias Biol, ESALQ, BR-13418900 Sao Paulo, Brazil.","BR-13418900","Brazil","Brazil",TRUE
"5037","Nave, Andre G.","Univ Sao Paulo, LERF, Dept Ciencias Biol, ESALQ, BR-13418900 Sao Paulo, Brazil.","Univ Sao Paulo"," LERF"," Dept Ciencias Biol, ESALQ, BR-13418900 Sao Paulo, Brazil.","BR-13418900","Brazil","Brazil",TRUE
"5038","Rodrigues, Ricardo R.","Univ Sao Paulo, LERF, Dept Ciencias Biol, ESALQ, BR-13418900 Sao Paulo, Brazil.","Univ Sao Paulo"," LERF"," Dept Ciencias Biol, ESALQ, BR-13418900 Sao Paulo, Brazil.","BR-13418900","Brazil","Brazil",TRUE
"5039","Bortolus, Alejandro","CENPAT CONICET, Ctr Nacl Patagon, Grp Ecol Ambientes Costeros, Puerto Madryn, Chubut, Argentina.","CENPAT CONICET"," Ctr Nacl Patagon"," Grp Ecol Ambientes Costeros, Puerto Madryn, Chubut, Argentina.",NA,"Argentina","Argentina",TRUE
"5040","Idaszkin, Yanina L.","CENPAT CONICET, Ctr Nacl Patagon, Grp Ecol Ambientes Costeros, Puerto Madryn, Chubut, Argentina.","CENPAT CONICET"," Ctr Nacl Patagon"," Grp Ecol Ambientes Costeros, Puerto Madryn, Chubut, Argentina.",NA,"Argentina","Argentina",TRUE
"5041","Savoya, Veronica","CENPAT CONICET, Ctr Nacl Patagon, Grp Ecol Ambientes Costeros, Puerto Madryn, Chubut, Argentina.","CENPAT CONICET"," Ctr Nacl Patagon"," Grp Ecol Ambientes Costeros, Puerto Madryn, Chubut, Argentina.",NA,"Argentina","Argentina",TRUE
"5042","Schwindt, Evangelina","CENPAT CONICET, Ctr Nacl Patagon, Grp Ecol Ambientes Costeros, Puerto Madryn, Chubut, Argentina.","CENPAT CONICET"," Ctr Nacl Patagon"," Grp Ecol Ambientes Costeros, Puerto Madryn, Chubut, Argentina.",NA,"Argentina","Argentina",TRUE
"5043","Chen, Yaning","Chinese Acad Sci, Xinjiang Inst Ecol & Geog, Key Lab Oasis Ecol & Desert Environm, Urumqi 830011, Peoples R China.","Chinese Acad Sci"," Xinjiang Inst Ecol & Geog"," Key Lab Oasis Ecol & Desert Environm, Urumqi 830011, Peoples R China."," 83001","China","Peoples R China",FALSE
"5044","Li, Yiqing","Chinese Acad Sci, Xinjiang Inst Ecol & Geog, Key Lab Oasis Ecol & Desert Environm, Urumqi 830011, Peoples R China.","Chinese Acad Sci"," Xinjiang Inst Ecol & Geog"," Key Lab Oasis Ecol & Desert Environm, Urumqi 830011, Peoples R China."," 83001","China","Peoples R China",FALSE
"5045","Xia, Yang","Univ New Mexico, Dept Biol, Albuquerque, NM 87131 USA.","Univ New Mexico"," Dept Biol"," Albuquerque, NM 87131 USA."," 87131","USA","USA",TRUE
"5046","Zhang, Yaoqi","Auburn Univ, Sch Forestry & Wildlife Sci, Auburn, AL 36849 USA.","Auburn Univ"," Sch Forestry & Wildlife Sci"," Auburn, AL 36849 USA."," 36849","USA","USA",TRUE
"5047","Adams, W. M.","Univ Cambridge, Dept Geog, Cambridge CB2 3EJ, England.","Univ Cambridge"," Dept Geog"," Cambridge CB2 3EJ, England.","CB2 3EJ",NA,"England",NA
"5048","Aronson, R. B.","Florida Inst Technol, Dept Biol Sci, Int Soc Reef Studies, Melbourne, FL 32901 USA.","Florida Inst Technol"," Dept Biol Sci"," Int Soc Reef Studies, Melbourne, FL 32901 USA."," 32901","USA","USA",TRUE
"5049","Aveling, R.","Fauna & Flora Int, Cambridge CB1 2JD, England.","Fauna & Flora Int"," Cambridge CB1 2JD"," England.",NA,NA,"England",NA
"5050","Blackburn, T. M.","Zool Soc London, Inst Zool, London NW1 4RY, England.","Zool Soc London"," Inst Zool"," London NW1 4RY, England.","NW1 4RY",NA,"England",NA
"5051","Broad, S.","Traff Int, Cambridge CB3 0DL, England.","Traff Int"," Cambridge CB3 0DL"," England.",NA,NA,"England",NA
"5052","Ceballos, G.","Univ Nacl Autonoma Mexico, Inst Ecol, SCB Austral & Neotrop Amer Sect, Mexico City 04510, DF, Mexico.","Univ Nacl Autonoma Mexico"," Inst Ecol"," SCB Austral & Neotrop Amer Sect, Mexico City 04510, DF, Mexico."," 04510","Mexico","Mexico",TRUE
"5053","Cote, I. M.","Simon Fraser Univ, Dept Biol Sci, Burnaby, BC V5A 1S6, Canada.","Simon Fraser Univ"," Dept Biol Sci"," Burnaby, BC V5A 1S6, Canada."," V5A 1S6","Canada","Canada",TRUE
"5054","Cowling, R. M.","Nelson Mandela Metropolitan Univ, Dept Bot, ZA-6031 Port Elizabeth, South Africa.","Nelson Mandela Metropolitan Univ"," Dept Bot"," ZA-6031 Port Elizabeth, South Africa.","ZA-6031","South Africa","South Africa",TRUE
"5055","Da Fonseca, G. A. B.","GEF Secretariat, Washington, DC 20433 USA.","GEF Secretariat"," Washington"," DC 20433 USA."," 20433","USA","USA",TRUE
"5056","Dinerstein, E.","World Wildlife Fund, Washington, DC 20037 USA.","World Wildlife Fund"," Washington"," DC 20037 USA."," 20037","USA","USA",TRUE
"5057","Ferraro, P. J.","Georgia State Univ, Dept Econ, Andrew Young Sch Policy Studies, Atlanta, GA 30302 USA.","Georgia State Univ"," Dept Econ"," Andrew Young Sch Policy Studies, Atlanta, GA 30302 USA."," 30302","USA","USA",TRUE
"5058","Fleishman, E.","Natl Ctr Ecol Anal & Synth, SCB N Amer Sect, Santa Barbara, CA 93101 USA.","Natl Ctr Ecol Anal & Synth"," SCB N Amer Sect"," Santa Barbara, CA 93101 USA."," 93101","USA","USA",TRUE
"5059","Gascon, C.","Off Programs & Sci, Arlington, VA 22202 USA.","Off Programs & Sci"," Arlington"," VA 22202 USA."," 22202","USA","USA",TRUE
"5060","Hunter, M., Jr.","Univ Maine, Dept Wildlife Ecol, Orono, ME 04469 USA.","Univ Maine"," Dept Wildlife Ecol"," Orono, ME 04469 USA."," 04469","USA","USA",TRUE
"5061","Hutton, J.","UNEP WCMC, Cambridge CB3 0DL, England.","UNEP WCMC"," Cambridge CB3 0DL"," England.",NA,NA,"England",NA
"5062","Kareiva, P.","Nature Conservancy, Seattle, WA 98105 USA.","Nature Conservancy"," Seattle"," WA 98105 USA."," 98105","USA","USA",TRUE
"5063","Kuria, A.","Trop Biol Assoc, Nat Kenya, Nairobi 00100, Kenya.","Trop Biol Assoc"," Nat Kenya"," Nairobi 00100, Kenya."," 00100","Kenya","Kenya",TRUE
"5064","Macdonald, D. W.","Univ Oxford, Wildlife Conservat Res Unit, Tubney OX13 5QL, Oxon, England.","Univ Oxford"," Wildlife Conservat Res Unit"," Tubney OX13 5QL, Oxon, England.","OX13 5QL",NA,"England",NA
"5065","Mackinnon, K.","World Bank, Dept Environm, Washington, DC 20433 USA.","World Bank"," Dept Environm"," Washington, DC 20433 USA."," 20433","USA","USA",TRUE
"5066","Madgwick, F. J.","Wetlands Int, NL-6700 AL Wageningen, Netherlands.","Wetlands Int"," NL-6700 AL Wageningen"," Netherlands.",NA,"Netherlands","Netherlands",TRUE
"5067","Mascia, M. B.","World Wildlife Fund, SCB Social Sci Working Grp, Washington, DC 20037 USA.","World Wildlife Fund"," SCB Social Sci Working Grp"," Washington, DC 20037 USA."," 20037","USA","USA",TRUE
"5068","Mcneely, J.","IUCN, CH-1196 Gland, Switzerland.","IUCN"," CH-1196 Gland"," Switzerland.",NA,"Switzerland","Switzerland",TRUE
"5069","Milner-Gulland, E. J.","Imperial Coll London, Div Biol, Ascot SL5 7PY, Berks, England.","Imperial Coll London"," Div Biol"," Ascot SL5 7PY, Berks, England.","SL5 7PY",NA,"England",NA
"5070","Moon, S.","Univ Cambridge, Dept Zool, Cambridge Conservat Initiat, Cambridge CB2 3EJ, England.","Univ Cambridge"," Dept Zool"," Cambridge Conservat Initiat, Cambridge CB2 3EJ, England.","CB2 3EJ",NA,"England",NA
"5071","Morley, C. G.","Kauri Coast Area Off, Dept Conservat, SCB Australasia Sect, Dargaville 0377, New Zealand.","Kauri Coast Area Off"," Dept Conservat"," SCB Australasia Sect, Dargaville 0377, New Zealand.",NA,"New Zealand","New Zealand",TRUE
"5072","Nelson, S.","Darwin Initiat Secretariat, Dept Environm Food & Rural Affairs, London SW1P 3JR, England.","Darwin Initiat Secretariat"," Dept Environm Food & Rural Affairs"," London SW1P 3JR, England.","SW1P 3JR",NA,"England",NA
"5073","Osborn, D.","NERC, Swindon SN2 1EU, Wilts, England.","NERC"," Swindon SN2 1EU"," Wilts, England.",NA,NA,"England",NA
"5074","Pai, M.","Clemson Univ, Dept Forestry & Nat Resources, SCB Asia Sect, Clemson, SC 29634 USA.","Clemson Univ"," Dept Forestry & Nat Resources"," SCB Asia Sect, Clemson, SC 29634 USA."," 29634","USA","USA",TRUE
"5075","Parsons, E. C. M.","George Mason Univ, Dept Environm Sci & Policy, SCB Marine Sect, Fairfax, VA 22030 USA.","George Mason Univ"," Dept Environm Sci & Policy"," SCB Marine Sect, Fairfax, VA 22030 USA."," 22030","USA","USA",TRUE
"5076","Peck, L. S.","British Antarctic Survey, NERC, Cambridge CB3 0ET, England.","British Antarctic Survey"," NERC"," Cambridge CB3 0ET, England.","CB3 0ET",NA,"England",NA
"5077","Possingham, H. P.","Univ Queensland, Brisbane, Qld 4072, Australia.","Univ Queensland"," Brisbane"," Qld 4072, Australia.","Qld 4072","Australia","Australia",TRUE
"5078","Prior, S. V.","Univ Cambridge, Dept Zool, Conservat Sci Grp, Cambridge CB2 3EJ, England.","Univ Cambridge"," Dept Zool"," Conservat Sci Grp, Cambridge CB2 3EJ, England.","CB2 3EJ",NA,"England",NA
"5079","Pullin, A. S.","Bangor Univ, Sch Environm & Nat Resources, Ctr Evidence Based Conservat, SCB Europe Sect, Bangor LL57 2UW, Gwynedd, Wales.","Bangor Univ"," Sch Environm & Nat Resources"," Ctr Evidence Based Conservat, SCB Europe Sect, Bangor LL57 2UW, Gwynedd, Wales.","LL57 2UW",NA,"Wales",NA
"5080","Rands, M. R. W.","BirdLife Int, Wellbrook Court, Cambridge CB3 0NA, England.","BirdLife Int"," Wellbrook Court"," Cambridge CB3 0NA, England.","CB3 0NA",NA,"England",NA
"5081","Ranganathan, J.","World Resources Inst, Washington, DC 20002 USA.","World Resources Inst"," Washington"," DC 20002 USA."," 20002","USA","USA",TRUE
"5082","Redford, K. H.","Wildlife Conservat Soc, WCS Inst, Bronx, NY 10460 USA.","Wildlife Conservat Soc"," WCS Inst"," Bronx, NY 10460 USA."," 10460","USA","USA",TRUE
"5083","Rodriguez, J. P.","Inst Venezolano Invest Cient, Ctr Ecol, Caracas 1020A, Venezuela.","Inst Venezolano Invest Cient"," Ctr Ecol"," Caracas 1020A, Venezuela.",NA,"Venezuela","Venezuela",TRUE
"5084","Seymour, F.","Jalan Ctr Int Forestry Res, Bogor Barat 16115, Indonesia.","Jalan Ctr Int Forestry Res"," Bogor Barat 16115"," Indonesia.",NA,"Indonesia","Indonesia",TRUE
"5085","Sobel, J.","Ocean Conservancy, Washington, DC 20036 USA.","Ocean Conservancy"," Washington"," DC 20036 USA."," 20036","USA","USA",TRUE
"5086","Sodhi, N. S.","Natl Univ Singapore, Dept Biol Sci, Singapore 117543, Singapore.","Natl Univ Singapore"," Dept Biol Sci"," Singapore 117543, Singapore."," 11754","Singapore","Singapore",TRUE
"5087","Stott, A.","Dept Environm Food & Rural Affairs, Nat Environm Sci Div, Bristol BS1 6EB, Avon, England.","Dept Environm Food & Rural Affairs"," Nat Environm Sci Div"," Bristol BS1 6EB, Avon, England.","BS1 6EB",NA,"England",NA
"5088","Sutherland, W. J.","Univ Cambridge, Dept Zool, Conservat Sci Grp, Cambridge CB2 3EJ, England.","Univ Cambridge"," Dept Zool"," Conservat Sci Grp, Cambridge CB2 3EJ, England.","CB2 3EJ",NA,"England",NA
"5089","Vance-Borland, K.","Oregon State Univ, SCB Freshwater Working Grp, Dept Forest Ecosyst & Soc, Corvallis, OR 97331 USA.","Oregon State Univ"," SCB Freshwater Working Grp"," Dept Forest Ecosyst & Soc, Corvallis, OR 97331 USA."," 97331","USA","USA",TRUE
"5090","Watkinson, A. R.","Univ E Anglia, Sch Environm Sci, Norwich NR4 7TJ, Norfolk, England.","Univ E Anglia"," Sch Environm Sci"," Norwich NR4 7TJ, Norfolk, England.","NR4 7TJ",NA,"England",NA
"5091","Brooks, Thomas M.","Conservat Int, Arlington, VA 22202 USA.","Conservat Int"," Arlington"," VA 22202 USA."," 22202","USA","USA",TRUE
"5092","Da Fonseca, Gustavo A. B.","Global Environm Facil, Washington, DC 20433 USA.","Global Environm Facil"," Washington"," DC 20433 USA."," 20433","USA","USA",TRUE
"5093","Hanson, Thor","Univ Idaho, Human Ecosyst Study Grp, Moscow, ID 83844 USA.","Univ Idaho"," Human Ecosyst Study Grp"," Moscow, ID 83844 USA."," 83844","USA","USA",TRUE
"5094","Hoffmann, Michael","Ctr Appl Biodivers Sci, CI CABS Biodivers Assessment Unit, IUCN SSC, Arlington, VA 22202 USA.","Ctr Appl Biodivers Sci"," CI CABS Biodivers Assessment Unit"," IUCN SSC, Arlington, VA 22202 USA."," 22202","USA","USA",TRUE
"5095","John D. Pilgrim","BirdLife Int Indochina, Hanoi, Vietnam.","BirdLife Int Indochina"," Hanoi"," Vietnam.",NA,"Vietnam","Vietnam",TRUE
"5096","Lamoreux, John F.","Ctr Appl Biodivers Sci, CI CABS Biodivers Assessment Unit, IUCN SSC, Arlington, VA 22202 USA.","Ctr Appl Biodivers Sci"," CI CABS Biodivers Assessment Unit"," IUCN SSC, Arlington, VA 22202 USA."," 22202","USA","USA",TRUE
"5097","Machlis, Gary","Univ Idaho, Human Ecosyst Study Grp, Moscow, ID 83844 USA.","Univ Idaho"," Human Ecosyst Study Grp"," Moscow, ID 83844 USA."," 83844","USA","USA",TRUE
"5098","Mittermeier, Cristina G.","Conservat Int, Int League Conservat Photographers, Arlington, VA 22202 USA.","Conservat Int"," Int League Conservat Photographers"," Arlington, VA 22202 USA."," 22202","USA","USA",TRUE
"5099","Mittermeier, Russell A.","Conservat Int, Arlington, VA 22202 USA.","Conservat Int"," Arlington"," VA 22202 USA."," 22202","USA","USA",TRUE
"5100","Bond-Buckup, G.","Univ Fed Rio Grande do Sul, Dept Zool, Porto Alegre, RS, Brazil.","Univ Fed Rio Grande do Sul"," Dept Zool"," Porto Alegre, RS, Brazil.",NA,"Brazil","Brazil",TRUE
"5101","Crandall, K. A.","Brigham Young Univ, Dept Biol, Provo, UT 84602 USA.","Brigham Young Univ"," Dept Biol"," Provo, UT 84602 USA."," 84602","USA","USA",TRUE
"5102","Jara, C. G.","Univ Austral Chile, Inst Zool, Valdivia, Chile.","Univ Austral Chile"," Inst Zool"," Valdivia, Chile.",NA,"Chile","Chile",TRUE
"5103","Perez-Losada, M.","Brigham Young Univ, Dept Biol, Provo, UT 84602 USA.","Brigham Young Univ"," Dept Biol"," Provo, UT 84602 USA."," 84602","USA","USA",TRUE
"5104","Arroyo-Rodriguez, Victor","Univ Nacl Autonoma Mexico, Ctr Invest Ecosistemas, Morelia 58190, Michoacan, Mexico.","Univ Nacl Autonoma Mexico"," Ctr Invest Ecosistemas"," Morelia 58190, Michoacan, Mexico."," 58190","Mexico","Mexico",TRUE
"5105","Benitez-Malvido, Julieta","Univ Nacl Autonoma Mexico, Ctr Invest Ecosistemas, Morelia 58190, Michoacan, Mexico.","Univ Nacl Autonoma Mexico"," Ctr Invest Ecosistemas"," Morelia 58190, Michoacan, Mexico."," 58190","Mexico","Mexico",TRUE
"5106","Escobar, Federico","Inst Ecol AC, Dept Biodiversidad & Ecol Anim, Xalapa, Veracruz, Mexico.","Inst Ecol AC"," Dept Biodiversidad & Ecol Anim"," Xalapa, Veracruz, Mexico.",NA,"Mexico","Mexico",TRUE
"5107","Pineda, Eduardo","Inst Ecol AC, Dept Biodiversidad & Ecol Anim, Xalapa, Veracruz, Mexico.","Inst Ecol AC"," Dept Biodiversidad & Ecol Anim"," Xalapa, Veracruz, Mexico.",NA,"Mexico","Mexico",TRUE
"5108","Cornelissen, Tatiana","Univ Fed Uberlandia, Dept Biol, BR-38302000 Ituiutaba, MG, Brazil.","Univ Fed Uberlandia"," Dept Biol"," BR-38302000 Ituiutaba, MG, Brazil.","BR-38302000","Brazil","Brazil",TRUE
"5109","Stiling, Peter","Univ S Florida, Dept Biol SCA 110, Tampa, FL 33620 USA.","Univ S Florida"," Dept Biol SCA 110"," Tampa, FL 33620 USA."," 33620","USA","USA",TRUE
"5110","Lewis, Owen T.","Univ Oxford, Dept Zool, Oxford OX1 3PS, England.","Univ Oxford"," Dept Zool"," Oxford OX1 3PS, England.","OX1 3PS",NA,"England",NA
"5111","Medianero, Enrique","Univ Panama, Programa Centroamer Maestria Entomol Vicerrectori, Panama City, Panama.","Univ Panama"," Programa Centroamer Maestria Entomol Vicerrectori"," Panama City, Panama.",NA,"Panama","Panama",TRUE
"5112","Paniagua, Miguel R.","Univ Panama, Programa Centroamer Maestria Entomol Vicerrectori, Panama City, Panama.","Univ Panama"," Programa Centroamer Maestria Entomol Vicerrectori"," Panama City, Panama.",NA,"Panama","Panama",TRUE
"5113","Buck, Brenda J.","Univ Nevada, Dept Geosci, Las Vegas, NV 89154 USA.","Univ Nevada"," Dept Geosci"," Las Vegas, NV 89154 USA."," 89154","USA","USA",TRUE
"5114","Cole, David R.","Oak Ridge Natl Lab, Div Chem Sci, Oak Ridge, TN 37932 USA.","Oak Ridge Natl Lab"," Div Chem Sci"," Oak Ridge, TN 37932 USA."," 37932","USA","USA",TRUE
"5115","Gallegos, Robert A.","New Mexico State Univ, Dept Plant & Environm Sci, Las Cruces, NM 88003 USA.","New Mexico State Univ"," Dept Plant & Environm Sci"," Las Cruces, NM 88003 USA."," 88003","USA","USA",TRUE
"5116","Monger, H. Curtis","New Mexico State Univ, Dept Plant & Environm Sci, Las Cruces, NM 88003 USA.","New Mexico State Univ"," Dept Plant & Environm Sci"," Las Cruces, NM 88003 USA."," 88003","USA","USA",TRUE
"5117","Bachmann, Pamela L.","Univ Chile, Santiago, Chile.","Univ Chile"," Santiago"," Chile.",NA,"Chile","Chile",TRUE
"5118","Delgado, Luisa E.","Univ Chile, Santiago, Chile.","Univ Chile"," Santiago"," Chile.",NA,"Chile","Chile",TRUE
"5119","Marin, Victor H.","Univ Chile, Santiago, Chile.","Univ Chile"," Santiago"," Chile.",NA,"Chile","Chile",TRUE
"5120","Torres-Gomez, Marcela","Univ Chile, Santiago, Chile.","Univ Chile"," Santiago"," Chile.",NA,"Chile","Chile",TRUE
