"AU_ID","UT","C1","RP","RID","RI","OI","Author_Order"
"Ekvall, M_1","WOS:000371439800001
","Lund Univ, Dept Biol Aquat Ecol, Ecol Bldg, S-22362 Lund, Sweden.","","","","",3
"Heuschele, J_1","WOS:000371439800001
","Lund Univ, Dept Biol Aquat Ecol, Ecol Bldg, S-22362 Lund, Sweden.","","","Heuschele,Jan/A-8794-2013","Heuschele,Jan/0000-0001-8203-0542",4
"Hylander, S_1","WOS:000371439800001
","Linnaeus Univ, EEMiS, Ctr Ecol & Evolut Microbial Model Syst, S-39182 Kalmar, Sweden.","","","","Hylander,Samuel/0000-0002-3740-5998",5
"Yang, X_1","WOS:000371439800001
","Lund Univ, Dept Biol Aquat Ecol, Ecol Bldg, S-22362 Lund, Sweden.","","","","",6
"Mazel, F_1","WOS:000371439800002
","Univ Grenoble Alpes, Lab Ecol Alpine LECA, F-38000 Grenoble, France.
CNRS, Lab Ecol Alpine LECA, F-38000 Grenoble, France.","CNRS, Lab Ecol Alpine LECA, F-38000 Grenoble, France.","","","",1
"Davies, TJ_2","WOS:000371439800002
","McGill Univ, Dept Biol, 1205 Ave Docteur Penfield, Montreal, PQ, Canada.
Univ Johannesburg, African Ctr DNA Barcoding, APK Campus,POB 524, ZA-2006 Johannesburg, South Africa.","","","","",2
"Georges, D_1","WOS:000371439800002
","Univ Grenoble Alpes, Lab Ecol Alpine LECA, F-38000 Grenoble, France.
CNRS, Lab Ecol Alpine LECA, F-38000 Grenoble, France.","","","","",3
"Lavergne, S_1","WOS:000371439800002
","Univ Grenoble Alpes, Lab Ecol Alpine LECA, F-38000 Grenoble, France.
CNRS, Lab Ecol Alpine LECA, F-38000 Grenoble, France.","","","","",4
"Thuiller, W_1","WOS:000371439800002
","Univ Grenoble Alpes, Lab Ecol Alpine LECA, F-38000 Grenoble, France.
CNRS, Lab Ecol Alpine LECA, F-38000 Grenoble, France.","","","","",5
"Peres-Neto, PR_2","WOS:000371439800002
","Univ Quebec, Dept Sci Biol, Canada Res Chair Spatial Modelling & Biodivers, Montreal, PQ H3C 3P8, Canada.","","","","",6
"Rutten, G_1","WOS:000371439800003
","Univ Bern, Inst Plant Sci, Altenbergrain 21, CH-3013 Bern, Switzerland.
Bern Univ Appl Sci, Sch Agr Forest & Food Sci, Zollikofen, Switzerland.","Bern Univ Appl Sci, Sch Agr Forest & Food Sci, Zollikofen, Switzerland.","","","Rutten,Gemma/0000-0001-9552-4605",1
"Prati, D_2","WOS:000371439800003
","Univ Bern, Inst Plant Sci, Altenbergrain 21, CH-3013 Bern, Switzerland.","","","","",2
"Hemp, A_1","WOS:000371439800003
","Univ Bayreuth, Dept Plant Systemat, Univ Str 30, D-95440 Bayreuth, Germany.","","","","",3
"Fischer, M_2","WOS:000371439800003
","Univ Bern, Inst Plant Sci, Altenbergrain 21, CH-3013 Bern, Switzerland.
Senckenberg Gesell Nat Forsch, Biodivers & Climate Res Ctr BiK F, Senckenberganlage 25, D-60325 Frankfurt, Germany.","","","Fischer,Markus/C-6411-2008","Fischer,Markus/0000-0002-5589-5900",4
"Rochman, CM_1","WOS:000371439800004
","Univ Calif Davis, Sch Vet Med, Aquat Hlth Program, Davis, CA 95616 USA.","Univ Calif Davis, Sch Vet Med, Aquat Hlth Program, Davis, CA 95616 USA.","","","",1
"Browne, MA_1","WOS:000371439800004
","Univ Calif Santa Barbara, Natl Ctr Ecol Anal & Synth, Santa Barbara, CA 93101 USA.
Univ New S Wales, Sch Biol Earth & Environm Sci, Evolut & Ecol Res Ctr, Sydney, NSW 2052, Australia.","","","","",2
"Underwood, AJ_1","WOS:000371439800004
","Univ Sydney, Sch Biol Sci A11, Ctr Res Ecol Impacts Coastal Cities, Sydney, NSW 2006, Australia.","","","","",3
"van Franeker, JA_1","WOS:000371439800004
","Inst Marine Res & Ecosyst Studies IMARES, NL-1797 SH Texel, Netherlands.
Inst Marine Res & Ecosyst Studies IMARES, NL-1780 AB Den Helder, Netherlands.","","","","",4
"Hompson, RCT_1","WOS:000371439800004
","Univ Plymouth, Sch Marine Sci & Engn, Marine Biol & Ecol Res Ctr, Plymouth PL4 8AA, Devon, England.","","","","",5
"Amaral-Zettler, LA_1","WOS:000371439800004
","Josephine Bay Paul Ctr Comparat Mol Biol & Evolut, Marine Biol Lab, Woods Hole, MA 02543 USA.
Brown Univ, Dept Earth Environm & Planetary Sci, Providence, RI 02912 USA.","","","","",6
"Pellegrini, AFA_2","WOS:000371439800005
","Princeton Univ, Dept Ecol & Evolutionary Biol, Princeton, NJ 08544 USA.","Princeton Univ, Dept Ecol & Evolutionary Biol, Princeton, NJ 08544 USA.","","","Pellegrini,Adam/0000-0003-0418-4129",1
"Richardson, LL_1","WOS:000371439800006
","Dartmouth Coll, Dept Biol Sci, Hanover, NH 03755 USA.
Univ Vermont, Gund Inst Ecol Econ, Burlington, VT 05405 USA.
N Carolina State Univ, Dept Appl Ecol, Raleigh, NC 27695 USA.","N Carolina State Univ, Dept Appl Ecol, Raleigh, NC 27695 USA.","","","",1
"Bowers, MD_1","WOS:000371439800006
","Univ Colorado, Ecol & Evolutionary Biol, UCB 334, Boulder, CO 80309 USA.
Univ Colorado, Museum Nat Hist, UCB 334, Boulder, CO 80309 USA.","","","","",2
"Irwin, RE_1","WOS:000371439800006
","Dartmouth Coll, Dept Biol Sci, Hanover, NH 03755 USA.","","","","",3
"Chen, HL_1","WOS:000371439800007
","Hangzhou Normal Univ, Coll life & Environm Sci, Hangzhou 310036, Zhejiang, Peoples R China.","Hangzhou Normal Univ, Coll life & Environm Sci, Hangzhou 310036, Zhejiang, Peoples R China.","","","",1
"Hagerty, S_1","WOS:000371439800007
","Brown Univ, Dept Ecol & Evolutionary Biol, Providence, RI 02912 USA.","","","","",2
"Crotty, SM_1","WOS:000371439800007
","Brown Univ, Dept Ecol & Evolutionary Biol, Providence, RI 02912 USA.","","","","",3
"Bertness, MD_2","WOS:000371439800007
","Brown Univ, Dept Ecol & Evolutionary Biol, Providence, RI 02912 USA.","","","","",4
"Wang, XG_1","WOS:000371439800008
","Chinese Acad Sci, Inst Appl Ecol, Shenyang 110016, Peoples R China.","Chinese Acad Sci, Inst Appl Ecol, Shenyang 110016, Peoples R China.","","","",1
"Wiegand, T_1","WOS:000371439800008
","UFZ Helmholtz Ctr Environm Research UFZ, Dept Ecol Modelling, Permoserstr 15, D-04318 Leipzig, Germany.
German Ctr Integrat Biodivers Res iDiv, Deutsch Pl 5e, D-04103 Leipzig, Germany.","","","Wiegand, Thorsten/H-5877-2016","Wiegand,Thorsten/0000-0002-3721-2248",2
"Kraft, NJB_1","WOS:000371439800008
","Univ Maryland, Dept Biol, Biol Psychol Bldg 144,Room 1210, College Pk, MD USA.","","","Kraft,Nathan/A-2817-2012","Kraft,Nathan/0000-0001-8867-7806",3
"Swenson, NG_4","WOS:000371439800008
","Univ Maryland, Dept Biol, Biol Psychol Bldg 144,Room 1210, College Pk, MD USA.","","","","",4
"Davies, SJ_1","WOS:000371439800008
","Smithsonian Inst, Ctr Trop Forest Sci, Smithsonian Inst Global Earth Observ, POB 37012, Washington, DC 20013 USA.","","","","",5
"Hao, ZQ_1","WOS:000371439800008
","Chinese Acad Sci, Inst Appl Ecol, Shenyang 110016, Peoples R China.","","","","",6
"Howe, R_1","WOS:000371439800008
","Univ Wisconsin, Dept Nat & Appl Sci, 2420 Nicolet Dr, Green Bay, WI 54311 USA.","","","","",7
"Lin, YC_1","WOS:000371439800008
","Tunghai Univ, Dept Life Sci, Taichung 40704, Taiwan.","","","","",8
"Ma, KP_2","WOS:000371439800008
","Chinese Acad Sci, Inst Bot, State Key Lab Vegetat & Environm Change, 20 Nanxincun, Beijing 100093, Peoples R China.","","","","",9
"Mi, XC_2","WOS:000371439800008
","Chinese Acad Sci, Inst Bot, State Key Lab Vegetat & Environm Change, 20 Nanxincun, Beijing 100093, Peoples R China.","","","","",10
"Su, SH_1","WOS:000371439800008
","Taiwan Forestry Res Inst, Taipei 10066, Taiwan.","","","","Su, Sheng-Hsin/0000-0003-1337-3335",11
"Sun, IF_1","WOS:000371439800008
","Natl Dong Hwa Univ, Dept Nat Resources & Environm Studies, Hualien 97401, Taiwan.","","","","",12
"Wolf, A_1","WOS:000371439800008
","Univ Wisconsin, Dept Nat & Appl Sci, 2420 Nicolet Dr, Green Bay, WI 54311 USA.","","","","",13
"Einarsson, A_1","WOS:000371439800009
","Myvatn Res Stn, IS-660 Myvatn, Iceland.
Univ Iceland, Inst Life & Environm Sci, Sturlugata 7, IS-101 Reykjavik, Iceland.","Univ Iceland, Inst Life & Environm Sci, Sturlugata 7, IS-101 Reykjavik, Iceland.","","","",1
"Hauptfleisch, U_1","WOS:000371439800009
","Myvatn Res Stn, IS-660 Myvatn, Iceland.
Univ Iceland, Fac Earth Sci, Sturlugata 7, IS-101 Reykjavik, Iceland.","","","","",2
"Leavitt, PR_1","WOS:000371439800009
","Univ Regina, Dept Biol, Regina, SK S4S 0A2, Canada.","","","Leavitt,Peter/A-1048-2013","Leavitt,Peter/0000-0001-9805-9307",3
"Ives, AR_1","WOS:000371439800009
","Univ Wisconsin, Dept Zool, Madison, WI 53706 USA.","","","","",4
"Ladwig, LM_1","WOS:000371439800010
","Univ New Mexico, Dept Biol, Albuquerque, NM 87131 USA.","Univ New Mexico, Dept Biol, Albuquerque, NM 87131 USA.","","","",1
"Ratajczak, ZR_1","WOS:000371439800010
","Univ Virginia, Dept Environm Sci, Charlottesville, VA 22904 USA.","","","","",2
"Ocheltree, TW_1","WOS:000371439800010
","Colorado State Univ, Dept Forest & Rangeland Stewardship, Ft Collins, CO 80523 USA.","","","","",3
"Hafich, KA_1","WOS:000371439800010
","Univ Colorado, Inst Arctic & Alpine Res, Boulder, CO 80309 USA.","","","","",4
"Churchill, AC_1","WOS:000371439800010
","Univ Colorado, Inst Arctic & Alpine Res, Boulder, CO 80309 USA.
Univ Colorado, Dept Ecol & Evolutionary Biol, Boulder, CO 80309 USA.","","","","",5
"Frey, SJK_1","WOS:000371439800010
","Oregon State Univ, Dept Forest Ecosyst & Soc, Corvallis, OR 97331 USA.","","","Frey,Sarah/D-5685-2013","",6
"Fuss, CB_1","WOS:000371439800010
","Cary Inst Ecosyst Studies, Millbrook, NY 12545 USA.","","","","",7
"Kazanski, CE_1","WOS:000371439800010
","Univ Minnesota, Dept Ecol Evolut & Behav, St Paul, MN 55455 USA.","","","","",8
"Munoz, JD_1","WOS:000371439800010
","Michigan State Univ, Dept Plant Soil & Microbial Sci, E Lansing, MI 48824 USA.","","","","",9
"Petrie, MD_1","WOS:000371439800010
","Univ New Mexico, Dept Biol, Albuquerque, NM 87131 USA.","","","","",10
"Reinmann, AB_1","WOS:000371439800010
","Boston Univ, Dept Biol, Boston, MA 02215 USA.","","","","",11
"Smith, JG_1","WOS:000371439800010
","New Mexico State Univ, Dept Biol, Las Cruces, NM 88003 USA.","","","","",12
"Loke, LHL_1","WOS:000371439800011
","Natl Univ Singapore, Dept Biol Sci, Expt Marine Ecol Lab, 14 Sci Dr 4,Blk S3 02-05, Singapore 117543, Singapore.","","","","Loke,Lynette/0000-0002-3649-1046",1
