"AU","AU_ID","AU_ID_Dupe","Similarity","AF","EM","C1","RP","RID","RI","OI"
"Jimenez-Uzcategui, G","Hao, ZQ_2",NA,NA,"Arunachalam, Muthukumarasamy","","","","","SoliveresCodina, Santiago/A-2291-2016",""
"Jimenez-Uzcategui, G","Hsieh, CF_2",NA,NA,"Arunachalam, Muthukumarasamy","","","","","SoliveresCodina, Santiago/A-2291-2016","Miller,Matthew/0000-0002-2939-0239"
"Jimenez-Uzcategui, G","Ma, KP_2",NA,NA,"Arunachalam, Muthukumarasamy","","","","","SoliveresCodina, Santiago/A-2291-2016","Winker,Kevin/0000-0002-8985-8104"
"Jimenez-Uzcategui, G","De Oliveira, AA_1",NA,NA,"Arunachalam, Muthukumarasamy","","","","","SoliveresCodina, Santiago/A-2291-2016",""
"Jimenez-Uzcategui, G","Romero-Saltos, H_2",NA,NA,"Arunachalam, Muthukumarasamy","","","","","SoliveresCodina, Santiago/A-2291-2016",""
"Jimenez-Uzcategui, G","Su, SH_2",NA,NA,"Arunachalam, Muthukumarasamy","","","","","SoliveresCodina, Santiago/A-2291-2016",""
"Jimenez-Uzcategui, G","Sun, IF_2",NA,NA,"Arunachalam, Muthukumarasamy","","","","","SoliveresCodina, Santiago/A-2291-2016",""
"Jimenez-Uzcategui, G","Thompson, J_3",NA,NA,"Arunachalam, Muthukumarasamy","","","","","SoliveresCodina, Santiago/A-2291-2016","Froyd,Cynthia/0000-0001-5291-9156"
"Jimenez-Uzcategui, G","Ye, WH_2",NA,NA,"Arunachalam, Muthukumarasamy","","","","","SoliveresCodina, Santiago/A-2291-2016",""
"Jimenez-Uzcategui, G","Gibbs, JP_8",NA,NA,"Arunachalam, Muthukumarasamy","","","","","SoliveresCodina, Santiago/A-2291-2016",""
"Jimenez-Uzcategui, G","Das, I_2",NA,NA,"van Leeuwen, Jacqueline F. N.","","","","","SoliveresCodina, Santiago/A-2291-2016",""
"Jimenez-Uzcategui, G","Doan, TM_2",NA,NA,"Arunachalam, Muthukumarasamy","","","","","SoliveresCodina, Santiago/A-2291-2016",""
"Jimenez-Uzcategui, G","Zapata-Rios, G_3",NA,NA,"Arunachalam, Muthukumarasamy","","","","","SoliveresCodina, Santiago/A-2291-2016",""
"Jimenez-Uzcategui, G","Vargas, JH_1",NA,NA,"Arunachalam, Muthukumarasamy","","","","","SoliveresCodina, Santiago/A-2291-2016",""
"Jimenez-Uzcategui, G","Wright, SJ_2",NA,NA,"Arunachalam, Muthukumarasamy","","","","","SoliveresCodina, Santiago/A-2291-2016",""
"Jimenez-Uzcategui, G","Blanc, L_2",NA,NA,"Arunachalam, Muthukumarasamy","","","","","SoliveresCodina, Santiago/A-2291-2016",""
"Jimenez-Uzcategui, G","Guerrero, P_1",NA,NA,"Arunachalam, Muthukumarasamy","","","","","SoliveresCodina, Santiago/A-2291-2016",""
"Jimenez-Uzcategui, G","Reid, A_1",NA,NA,"Arunachalam, Muthukumarasamy","","","","","SoliveresCodina, Santiago/A-2291-2016","Lingua,Emanuele/0000-0001-9515-7657"
