"AU_ID","UT","C1","RP","RID","RI","OI","Author_Order"
"Albrecht, C_1","WOS:000269529100006
","Univ Giessen, Dept Anim Ecol & Systemat, D-35392 Giessen, Germany.","Univ Giessen, Dept Anim Ecol & Systemat, Heinrich Buff Ring 26-32 IFZ, D-35392 Giessen, Germany","","","",1
"Kroll, O_1","WOS:000269529100006
","","","","","",2
"Terrazas, E_1","WOS:000269529100006
","","","","","",3
"Wilke, T_1","WOS:000269529100006
","","","","","",4
"Kikuchi, DW_1","WOS:000269168700008
","Nat & Culture Int, Urb Miraflores Castilla, Piura, Peru.","Univ N Carolina, Dept Biol, Coker Hall CB 3280, Chapel Hill, NC 27599 USA, USA","","","",1
"Bascom-Slack, CA_1","WOS:000268019000012
","Yale Univ, Dept Mol Biophys & Biochem, New Haven, CT 06520 USA.","","","","",1
"Ma, C_1","WOS:000268019000012
","","","","","",2
"Moore, E_1","WOS:000268019000012
","","","","","",3
"Babbs, B_1","WOS:000268019000012
","","","","","",4
"Fenn, K_1","WOS:000268019000012
","","","","","",5
"Greene, JS_1","WOS:000268019000012
","","","","","",6
"Hann, BD_1","WOS:000268019000012
","","","","","",7
"Keehner, J_1","WOS:000268019000012
","","","","","",8
"Kelley-Swift, EG_1","WOS:000268019000012
","","","","","",9
"Kembaiyan, V_1","WOS:000268019000012
","","","","","",10
"Lee, SJ_1","WOS:000268019000012
","","","","","",11
"Li, PY_1","WOS:000268019000012
","","","","","",12
"Light, DY_1","WOS:000268019000012
","","","","","",13
"Lin, EH_1","WOS:000268019000012
","","","","","",14
"Schorn, MA_1","WOS:000268019000012
","","","","","",15
"Vekhter, D_1","WOS:000268019000012
","","","","","",16
"Boulanger, LA_1","WOS:000268019000012
","","","","","",17
"Hess, WM_1","WOS:000268019000012
","","","","","",18
"Vargas, PN_11","WOS:000268019000012
","","","","","",19
"Strobel, GA_1","WOS:000268019000012
","","","","","",20
"Strobel, SA_1","WOS:000268019000012
","","Yale Univ, Dept Mol Biophys & Biochem, 260 Whitney Ave, New Haven, CT 06520 USA","","","",21
